amount_initial_centers,kmax,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,0.016895055770874,0.4438,2717.8603,0.8018,0.4423,0.1108,0.639,0.4346,0.4363,1.0,0.279,0.4363,0.3934,pyc_xmeans,cure-t0-2000n-2D_y.zip
10,14,0.0163888931274414,0.4445,2721.8207,0.7704,0.4409,0.1092,0.639,0.4336,0.4353,1.0,0.2782,0.4353,0.3907,pyc_xmeans,cure-t0-2000n-2D_y.zip
10,18,0.0159165859222412,0.4348,2760.4635,0.7958,0.4414,0.1098,0.639,0.434,0.4358,1.0,0.2786,0.4358,0.3917,pyc_xmeans,cure-t0-2000n-2D_y.zip
10,2,0.0137920379638671,0.4325,2753.1782,0.8078,0.441,0.1093,0.639,0.4337,0.4355,1.0,0.2783,0.4355,0.3909,pyc_xmeans,cure-t0-2000n-2D_y.zip
10,22,0.0159277915954589,0.4446,2803.2661,0.7708,0.4413,0.1097,0.639,0.4339,0.4356,1.0,0.2785,0.4356,0.3915,pyc_xmeans,cure-t0-2000n-2D_y.zip
10,6,0.0136473178863525,0.4407,2771.8264,0.7722,0.4422,0.1107,0.639,0.4346,0.4363,1.0,0.279,0.4363,0.3933,pyc_xmeans,cure-t0-2000n-2D_y.zip
12,10,0.0713465213775634,0.4495,2879.1255,0.7855,0.4245,0.0906,0.639,0.4081,0.4102,1.0,0.258,0.4102,0.3574,pyc_xmeans,cure-t0-2000n-2D_y.zip
12,14,0.0188522338867187,0.4391,2870.734,0.7885,0.4253,0.0915,0.639,0.4088,0.4109,1.0,0.2586,0.4109,0.3592,pyc_xmeans,cure-t0-2000n-2D_y.zip
12,18,0.0179128646850585,0.4347,2836.9906,0.7879,0.4248,0.091,0.639,0.4084,0.4105,1.0,0.2582,0.4105,0.3581,pyc_xmeans,cure-t0-2000n-2D_y.zip
12,2,0.0149416923522949,0.4535,2883.2727,0.7301,0.425,0.0912,0.639,0.4085,0.4107,1.0,0.2584,0.4107,0.3585,pyc_xmeans,cure-t0-2000n-2D_y.zip
12,22,0.0191709995269775,0.4548,2923.5382,0.7324,0.4247,0.0909,0.639,0.4082,0.4104,1.0,0.2581,0.4104,0.3579,pyc_xmeans,cure-t0-2000n-2D_y.zip
12,6,0.0159525871276855,0.4402,2819.7057,0.7952,0.4241,0.0902,0.639,0.4078,0.4099,1.0,0.2578,0.4099,0.3566,pyc_xmeans,cure-t0-2000n-2D_y.zip
2,10,0.0191068649291992,0.4725,2605.3644,0.7262,0.4887,0.1651,0.639,0.4976,0.4988,1.0,0.3322,0.4988,0.4745,pyc_xmeans,cure-t0-2000n-2D_y.zip
2,14,0.0204660892486572,0.4725,2603.4321,0.7255,0.4886,0.165,0.639,0.4975,0.4987,1.0,0.3322,0.4987,0.4744,pyc_xmeans,cure-t0-2000n-2D_y.zip
2,18,0.0222363471984863,0.4714,2598.2878,0.729,0.4887,0.165,0.639,0.4976,0.4987,1.0,0.3322,0.4987,0.4745,pyc_xmeans,cure-t0-2000n-2D_y.zip
