n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
12,k-means++,11,100,0.0001,False,42,True,lloyd,0.0372352600097656,0.6644,48507.1092,0.5805,0.9633,0.8257,2.0601,0.925,0.9255,0.998,0.8628,0.9255,0.8561,skl_kmeans,2d-10c_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,0.0372536182403564,0.6644,48507.1092,0.5805,0.9633,0.8257,2.0601,0.925,0.9255,0.998,0.8628,0.9255,0.8561,skl_kmeans,2d-10c_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,0.0374729633331298,0.6644,48507.1092,0.5805,0.9633,0.8257,2.0601,0.925,0.9255,0.998,0.8628,0.9255,0.8561,skl_kmeans,2d-10c_y.zip-12_k
