amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
4,10,inf,20,0.2321267127990722,0.1399,2038.5971,1.7749,pyc_xmeans,ficoONEHOT.zip
4,14,1000.0,20,0.3984017372131347,0.1322,1583.7365,1.782,pyc_xmeans,ficoONEHOT.zip
4,14,100.0,20,0.4233052730560303,0.1365,1604.196,1.7367,pyc_xmeans,ficoONEHOT.zip
4,14,inf,20,0.5432193279266357,0.1385,1627.1899,1.7665,pyc_xmeans,ficoONEHOT.zip
4,18,1000.0,20,0.5044529438018799,0.1309,1374.9515,1.8751,pyc_xmeans,ficoONEHOT.zip
4,18,100.0,20,0.6607921123504639,0.1342,1365.5384,1.949,pyc_xmeans,ficoONEHOT.zip
4,18,inf,20,0.4789431095123291,0.1375,1357.8815,1.7348,pyc_xmeans,ficoONEHOT.zip
4,22,1000.0,20,0.5566990375518799,0.1306,1167.4901,1.7433,pyc_xmeans,ficoONEHOT.zip
4,22,100.0,20,0.3380699157714844,0.1291,1179.2692,1.7815,pyc_xmeans,ficoONEHOT.zip
4,22,inf,20,0.5283448696136475,0.1299,1187.1784,1.9289,pyc_xmeans,ficoONEHOT.zip
4,2,1000.0,20,0.1171762943267822,0.1537,4067.4455,1.8229,pyc_xmeans,ficoONEHOT.zip
4,2,100.0,20,0.1662449836730957,0.1541,4068.614,1.8203,pyc_xmeans,ficoONEHOT.zip
4,2,inf,20,0.1797933578491211,0.1537,4068.3815,1.8228,pyc_xmeans,ficoONEHOT.zip
4,6,1000.0,20,0.1754343509674072,0.1466,2704.4033,1.6419,pyc_xmeans,ficoONEHOT.zip
4,6,100.0,20,0.22971773147583,0.1455,2881.4429,1.893,pyc_xmeans,ficoONEHOT.zip
4,6,inf,20,0.2075772285461425,0.1455,2877.0017,1.9441,pyc_xmeans,ficoONEHOT.zip
6,10,1000.0,20,0.3551802635192871,0.1432,1936.2084,1.7295,pyc_xmeans,ficoONEHOT.zip
6,10,100.0,20,0.2414300441741943,0.1507,2032.3509,1.7838,pyc_xmeans,ficoONEHOT.zip
6,10,inf,20,0.2097761631011963,0.1558,1955.9759,1.6316,pyc_xmeans,ficoONEHOT.zip
6,14,1000.0,20,0.5338563919067383,0.1333,1629.583,1.8978,pyc_xmeans,ficoONEHOT.zip
6,14,100.0,20,0.3952422142028808,0.1374,1636.9396,1.8721,pyc_xmeans,ficoONEHOT.zip
6,14,inf,20,0.4998824596405029,0.133,1655.603,1.817,pyc_xmeans,ficoONEHOT.zip
6,18,1000.0,20,0.4519219398498535,0.1326,1311.2638,1.7088,pyc_xmeans,ficoONEHOT.zip
6,18,100.0,20,0.4264602661132812,0.1293,1378.1801,1.8481,pyc_xmeans,ficoONEHOT.zip
6,18,inf,20,0.4483489990234375,0.1338,1341.4696,1.9366,pyc_xmeans,ficoONEHOT.zip
6,22,1000.0,20,0.5918688774108887,0.1281,1187.4253,1.7742,pyc_xmeans,ficoONEHOT.zip
6,22,100.0,20,0.5760538578033447,0.1302,1185.5607,1.9248,pyc_xmeans,ficoONEHOT.zip
6,22,inf,20,0.4070272445678711,0.1245,1185.2047,1.9108,pyc_xmeans,ficoONEHOT.zip
6,2,1000.0,20,0.1999669075012207,0.147,2877.5033,1.9301,pyc_xmeans,ficoONEHOT.zip
6,2,100.0,20,0.1353859901428222,0.1415,2873.9337,1.9079,pyc_xmeans,ficoONEHOT.zip
6,2,inf,20,0.176978588104248,0.1436,2871.481,1.9204,pyc_xmeans,ficoONEHOT.zip
6,6,1000.0,20,0.1505086421966552,0.1409,2871.0618,1.9046,pyc_xmeans,ficoONEHOT.zip
6,6,100.0,20,0.2086412906646728,0.1447,2877.4145,1.9541,pyc_xmeans,ficoONEHOT.zip
6,6,inf,20,0.2350494861602783,0.1542,2705.3327,1.611,pyc_xmeans,ficoONEHOT.zip
8,10,1000.0,20,0.2759833335876465,0.1331,2015.6865,1.8896,pyc_xmeans,ficoONEHOT.zip
8,10,100.0,20,0.3406796455383301,0.1364,2041.3651,1.8363,pyc_xmeans,ficoONEHOT.zip
8,10,inf,20,0.3319101333618164,0.148,1966.3003,1.7531,pyc_xmeans,ficoONEHOT.zip
8,14,1000.0,20,0.4453108310699463,0.1372,1636.9512,1.8445,pyc_xmeans,ficoONEHOT.zip
8,14,100.0,20,0.3164904117584228,0.1346,1592.2116,1.7878,pyc_xmeans,ficoONEHOT.zip
8,14,inf,20,0.4221532344818115,0.131,1618.2308,1.8685,pyc_xmeans,ficoONEHOT.zip
8,18,1000.0,20,0.3116192817687988,0.1325,1369.3254,1.8954,pyc_xmeans,ficoONEHOT.zip
8,18,100.0,20,0.610877513885498,0.1301,1363.7551,1.8145,pyc_xmeans,ficoONEHOT.zip
8,18,inf,20,0.6510992050170898,0.1314,1355.5768,1.8703,pyc_xmeans,ficoONEHOT.zip
8,22,1000.0,20,0.4301083087921142,0.1277,1167.9896,1.912,pyc_xmeans,ficoONEHOT.zip
8,22,100.0,20,0.6406693458557129,0.1262,1197.5763,1.9267,pyc_xmeans,ficoONEHOT.zip
8,22,inf,20,0.5466995239257812,0.129,1194.1359,1.8817,pyc_xmeans,ficoONEHOT.zip
8,2,1000.0,20,0.2023439407348632,0.1386,2348.7183,1.824,pyc_xmeans,ficoONEHOT.zip
8,2,100.0,20,0.1457393169403076,0.1355,2365.9698,1.8279,pyc_xmeans,ficoONEHOT.zip
8,2,inf,20,0.1455731391906738,0.1419,2349.9662,1.8658,pyc_xmeans,ficoONEHOT.zip
8,6,1000.0,20,0.1558992862701416,0.1344,2231.4182,1.7371,pyc_xmeans,ficoONEHOT.zip
8,6,100.0,20,0.2223334312438964,0.1424,2310.7536,1.9489,pyc_xmeans,ficoONEHOT.zip
8,6,inf,20,0.1868586540222168,0.1305,2176.0993,1.8362,pyc_xmeans,ficoONEHOT.zip
10,10,1000.0,20,0.2185308933258056,0.134,1976.4262,1.7505,pyc_xmeans,ficoONEHOT.zip
10,10,100.0,20,0.3201358318328857,0.1355,1966.6416,1.7785,pyc_xmeans,ficoONEHOT.zip
10,10,inf,20,0.2764372825622558,0.1535,1985.1969,1.6884,pyc_xmeans,ficoONEHOT.zip
10,14,1000.0,20,0.3110532760620117,0.1377,1620.8507,1.7922,pyc_xmeans,ficoONEHOT.zip
10,14,100.0,20,0.4569628238677978,0.1301,1572.8305,2.0076,pyc_xmeans,ficoONEHOT.zip
10,14,inf,20,0.3414268493652344,0.1339,1619.3114,1.8991,pyc_xmeans,ficoONEHOT.zip
10,18,1000.0,20,0.3776488304138183,0.1324,1353.32,1.8764,pyc_xmeans,ficoONEHOT.zip
10,18,100.0,20,0.4365859031677246,0.1379,1362.8665,1.7974,pyc_xmeans,ficoONEHOT.zip
10,18,inf,20,0.3976633548736572,0.1321,1336.3484,1.9593,pyc_xmeans,ficoONEHOT.zip
10,22,1000.0,20,0.5719847679138184,0.1278,1177.9717,1.8687,pyc_xmeans,ficoONEHOT.zip
10,22,100.0,20,0.5475871562957764,0.1251,1192.9871,1.9781,pyc_xmeans,ficoONEHOT.zip
10,22,inf,20,0.5313918590545654,0.1343,1198.983,1.8302,pyc_xmeans,ficoONEHOT.zip
10,2,1000.0,20,0.2383182048797607,0.1331,2019.7616,1.9218,pyc_xmeans,ficoONEHOT.zip
10,2,100.0,20,0.2303385734558105,0.1464,2024.1036,1.7894,pyc_xmeans,ficoONEHOT.zip
10,2,inf,20,0.1633462905883789,0.1495,2042.6356,1.8387,pyc_xmeans,ficoONEHOT.zip
10,6,1000.0,20,0.2152464389801025,0.1351,2024.0957,1.8402,pyc_xmeans,ficoONEHOT.zip
10,6,100.0,20,0.1890552043914795,0.1362,1963.889,1.6624,pyc_xmeans,ficoONEHOT.zip
10,6,inf,20,0.2317442893981933,0.1361,1952.1293,1.6419,pyc_xmeans,ficoONEHOT.zip
12,10,1000.0,20,0.3628177642822265,0.1374,1778.0547,1.689,pyc_xmeans,ficoONEHOT.zip
12,10,100.0,20,0.2575991153717041,0.135,1783.0903,1.8948,pyc_xmeans,ficoONEHOT.zip
12,10,inf,20,0.2286615371704101,0.1374,1786.3634,1.8239,pyc_xmeans,ficoONEHOT.zip
12,14,1000.0,20,0.4014482498168945,0.1367,1627.7539,1.7192,pyc_xmeans,ficoONEHOT.zip
12,14,100.0,20,0.4572992324829101,0.1327,1585.1425,1.8068,pyc_xmeans,ficoONEHOT.zip
12,14,inf,20,0.3406078815460205,0.1335,1641.5943,1.842,pyc_xmeans,ficoONEHOT.zip
12,18,1000.0,20,0.4442629814147949,0.1324,1368.9906,1.8429,pyc_xmeans,ficoONEHOT.zip
12,18,100.0,20,0.3251309394836426,0.1352,1369.4998,1.8734,pyc_xmeans,ficoONEHOT.zip
12,18,inf,20,0.3989651203155517,0.1382,1367.9276,1.8641,pyc_xmeans,ficoONEHOT.zip
12,22,1000.0,20,0.3866174221038818,0.1296,1192.1528,1.8964,pyc_xmeans,ficoONEHOT.zip
12,22,100.0,20,0.588935136795044,0.1312,1195.8296,1.8265,pyc_xmeans,ficoONEHOT.zip
12,22,inf,20,0.5578804016113281,0.1278,1187.6782,1.9096,pyc_xmeans,ficoONEHOT.zip
12,2,1000.0,20,0.3069021701812744,0.1322,1753.7809,1.7751,pyc_xmeans,ficoONEHOT.zip
12,2,100.0,20,0.2905745506286621,0.1322,1798.9745,1.8698,pyc_xmeans,ficoONEHOT.zip
12,2,inf,20,0.166295051574707,0.1419,1757.2946,1.7048,pyc_xmeans,ficoONEHOT.zip
12,6,1000.0,20,0.2918510437011719,0.134,1795.9484,1.8862,pyc_xmeans,ficoONEHOT.zip
12,6,100.0,20,0.1686980724334716,0.1371,1810.911,1.8287,pyc_xmeans,ficoONEHOT.zip
12,6,inf,20,0.1754469871520996,0.146,1809.6038,1.8113,pyc_xmeans,ficoONEHOT.zip
2,10,1000.0,20,0.437946081161499,0.1404,2045.0629,1.8515,pyc_xmeans,ficoONEHOT.zip
2,10,100.0,20,0.347517728805542,0.136,2042.5569,1.8093,pyc_xmeans,ficoONEHOT.zip
