n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,100,Cao,11,False,42,4,1000.0,100,19.49878191947937,0.0166,1002.433,9.0598,kmodes,fico.zip
10,100,Cao,11,False,42,4,1000.0,20,19.25835585594177,0.0166,1002.433,9.0598,kmodes,fico.zip
10,100,Cao,11,False,42,4,100.0,100,19.12702417373657,0.0293,1053.3933,6.6043,kmodes,fico.zip
10,100,Cao,11,False,42,4,100.0,20,20.371567964553837,0.0166,1002.433,9.0598,kmodes,fico.zip
10,100,Cao,11,False,42,4,20.0,20,21.08414459228516,0.0269,1112.2001,5.6165,kmodes,fico.zip
10,100,Cao,11,False,42,4,inf,100,20.472419500350952,0.0166,1002.433,9.0598,kmodes,fico.zip
10,100,Cao,11,False,42,4,inf,20,19.62490153312683,0.0166,1002.433,9.0598,kmodes,fico.zip
10,300,Cao,11,False,42,4,1000.0,100,19.540953159332275,0.0166,1002.433,9.0598,kmodes,fico.zip
10,300,Cao,11,False,42,4,1000.0,20,19.237526416778564,0.0166,1002.433,9.0598,kmodes,fico.zip
10,300,Cao,11,False,42,4,100.0,100,19.182488918304443,0.0293,1053.3933,6.6043,kmodes,fico.zip
10,300,Cao,11,False,42,4,100.0,20,19.15892791748047,0.0166,1002.433,9.0598,kmodes,fico.zip
10,300,Cao,11,False,42,4,20.0,20,20.46907615661621,0.0269,1112.2001,5.6165,kmodes,fico.zip
10,300,Cao,11,False,42,4,inf,100,20.3979811668396,0.0166,1002.433,9.0598,kmodes,fico.zip
10,300,Cao,11,False,42,4,inf,20,19.548897743225098,0.0166,1002.433,9.0598,kmodes,fico.zip
10,500,Cao,11,False,42,4,1000.0,100,19.501442432403564,0.0166,1002.433,9.0598,kmodes,fico.zip
10,500,Cao,11,False,42,4,1000.0,20,19.266749382019043,0.0166,1002.433,9.0598,kmodes,fico.zip
10,500,Cao,11,False,42,4,100.0,100,19.11493468284607,0.0293,1053.3933,6.6043,kmodes,fico.zip
