amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,1000.0,100,0.0183563232421875,0.1894,261.376,1.4933,0.7104,0.0885,0.2979,0.1648,0.1729,0.215,0.1446,0.1729,0.2606,pyc_xmeans,vehicle_y.zip
10,10,1000.0,20,0.0202963352203369,0.1866,278.6317,1.4518,0.7292,0.1229,0.3976,0.216,0.2233,0.2869,0.1828,0.2233,0.2823,pyc_xmeans,vehicle_y.zip
10,10,100.0,100,0.0159759521484375,0.1731,256.8443,1.5099,0.7185,0.1122,0.3764,0.2112,0.2189,0.2717,0.1833,0.2189,0.2804,pyc_xmeans,vehicle_y.zip
10,10,100.0,20,0.0163238048553466,0.1735,252.7176,1.5241,0.7247,0.1191,0.3585,0.1977,0.2055,0.2587,0.1705,0.2055,0.2822,pyc_xmeans,vehicle_y.zip
10,10,20.0,20,0.014993667602539,0.2106,255.4348,1.4369,0.7075,0.1012,0.2777,0.1561,0.1646,0.2004,0.1396,0.1646,0.2792,pyc_xmeans,vehicle_y.zip
10,10,inf,100,0.0158512592315673,0.1833,252.7772,1.4531,0.7202,0.1141,0.3392,0.1878,0.1958,0.2448,0.1631,0.1958,0.281,pyc_xmeans,vehicle_y.zip
10,10,inf,20,0.0278365612030029,0.2017,280.9417,1.3817,0.7316,0.1367,0.419,0.2292,0.2363,0.3024,0.194,0.2363,0.2964,pyc_xmeans,vehicle_y.zip
10,14,1000.0,100,0.0229508876800537,0.1816,232.0226,1.5099,0.7424,0.1075,0.4478,0.2172,0.2266,0.3232,0.1745,0.2266,0.2507,pyc_xmeans,vehicle_y.zip
10,14,1000.0,20,0.0238111019134521,0.1912,234.6229,1.4015,0.7404,0.1058,0.4572,0.2233,0.2327,0.33,0.1797,0.2327,0.2503,pyc_xmeans,vehicle_y.zip
10,14,100.0,100,0.0208339691162109,0.2006,238.115,1.4367,0.7432,0.1164,0.4743,0.2324,0.2416,0.3423,0.1867,0.2416,0.2613,pyc_xmeans,vehicle_y.zip
10,14,100.0,20,0.0230987071990966,0.1751,224.7336,1.5944,0.7321,0.0906,0.3822,0.1884,0.1986,0.2759,0.1551,0.1986,0.2389,pyc_xmeans,vehicle_y.zip
10,14,20.0,20,0.0270144939422607,0.1888,236.5184,1.405,0.7417,0.1082,0.4604,0.2245,0.2338,0.3323,0.1804,0.2338,0.2522,pyc_xmeans,vehicle_y.zip
10,14,inf,100,0.0241429805755615,0.1833,228.8515,1.5569,0.7395,0.1088,0.4613,0.2285,0.2382,0.3329,0.1854,0.2382,0.2549,pyc_xmeans,vehicle_y.zip
10,14,inf,20,0.0282423496246337,0.1898,236.0117,1.4081,0.7408,0.1041,0.4561,0.222,0.2314,0.3292,0.1784,0.2314,0.2479,pyc_xmeans,vehicle_y.zip
10,18,1000.0,100,0.0268478393554687,0.1801,217.6303,1.447,0.7432,0.0973,0.4743,0.2221,0.2326,0.3423,0.1761,0.2326,0.2369,pyc_xmeans,vehicle_y.zip
10,18,1000.0,20,0.0303776264190673,0.1838,185.0006,1.3189,0.742,0.1095,0.4552,0.2182,0.2304,0.3285,0.1774,0.2304,0.2536,pyc_xmeans,vehicle_y.zip
10,18,100.0,100,0.0355498790740966,0.1816,206.0923,1.4325,0.7466,0.0948,0.5224,0.2369,0.2482,0.377,0.185,0.2482,0.2309,pyc_xmeans,vehicle_y.zip
10,18,100.0,20,0.030421495437622,0.1812,206.6311,1.4086,0.742,0.0921,0.4972,0.2317,0.2428,0.3588,0.1834,0.2428,0.231,pyc_xmeans,vehicle_y.zip
10,18,20.0,20,0.0626566410064697,0.1867,226.7804,1.4574,0.7444,0.1091,0.476,0.2276,0.2374,0.3435,0.1814,0.2374,0.2511,pyc_xmeans,vehicle_y.zip
10,18,inf,100,0.0389704704284668,0.1742,199.2644,1.4368,0.7457,0.1028,0.5287,0.2454,0.2571,0.3816,0.1939,0.2571,0.2421,pyc_xmeans,vehicle_y.zip
10,18,inf,20,0.0705864429473877,0.1792,230.862,1.4713,0.7376,0.1045,0.4294,0.2107,0.2204,0.3099,0.171,0.2204,0.2513,pyc_xmeans,vehicle_y.zip
10,22,1000.0,100,0.0283141136169433,0.1781,226.3356,1.4045,0.7413,0.0967,0.4793,0.2288,0.2386,0.3459,0.1821,0.2386,0.2378,pyc_xmeans,vehicle_y.zip
10,22,1000.0,20,0.0301268100738525,0.1761,204.8046,1.4182,0.7414,0.0915,0.492,0.2295,0.2406,0.3551,0.182,0.2406,0.2308,pyc_xmeans,vehicle_y.zip
