min_samples,max_eps,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,inf,correlation,auto,4,2.2908034324646,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,,,skl_OPTICS,longsquare_y.zip
10,inf,correlation,auto,4,2.3784005641937256,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,1000.0,20.0,skl_OPTICS,longsquare_y.zip
10,inf,correlation,auto,4,2.3998491764068604,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,100.0,20.0,skl_OPTICS,longsquare_y.zip
10,inf,correlation,auto,4,2.190401554107666,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,inf,20.0,skl_OPTICS,longsquare_y.zip
10,inf,cosine,auto,4,4.035897970199585,-0.3029,50.2736,5.099,0.7853,0.0746,0.9568,0.3545,0.3864,0.534,0.3027,0.3864,0.1957,,,skl_OPTICS,longsquare_y.zip
10,inf,cosine,auto,4,3.333869218826294,-0.3029,50.2736,5.099,0.7853,0.0746,0.9568,0.3545,0.3864,0.534,0.3027,0.3864,0.1957,1000.0,20.0,skl_OPTICS,longsquare_y.zip
10,inf,cosine,auto,4,3.2505202293396,-0.3029,50.2736,5.099,0.7853,0.0746,0.9568,0.3545,0.3864,0.534,0.3027,0.3864,0.1957,100.0,20.0,skl_OPTICS,longsquare_y.zip
10,inf,cosine,auto,4,3.516576051712036,-0.3029,50.2736,5.099,0.7853,0.0746,0.9568,0.3545,0.3864,0.534,0.3027,0.3864,0.1957,inf,20.0,skl_OPTICS,longsquare_y.zip
10,inf,euclidean,auto,4,1.6146752834320068,-0.0844,78.6324,1.3896,0.7199,0.2101,0.9647,0.5138,0.5259,0.5384,0.514,0.5259,0.3885,,,skl_OPTICS,longsquare_y.zip
10,inf,euclidean,auto,4,1.6776323318481443,-0.0844,78.6324,1.3896,0.7199,0.2101,0.9647,0.5138,0.5259,0.5384,0.514,0.5259,0.3885,1000.0,20.0,skl_OPTICS,longsquare_y.zip
10,inf,euclidean,auto,4,1.6758270263671875,-0.0844,78.6324,1.3896,0.7199,0.2101,0.9647,0.5138,0.5259,0.5384,0.514,0.5259,0.3885,100.0,20.0,skl_OPTICS,longsquare_y.zip
10,inf,euclidean,auto,4,1.6490590572357178,-0.0844,78.6324,1.3896,0.7199,0.2101,0.9647,0.5138,0.5259,0.5384,0.514,0.5259,0.3885,inf,20.0,skl_OPTICS,longsquare_y.zip
20,inf,correlation,auto,4,2.241225242614746,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,,,skl_OPTICS,longsquare_y.zip
20,inf,correlation,auto,4,2.3253118991851807,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,1000.0,20.0,skl_OPTICS,longsquare_y.zip
20,inf,correlation,auto,4,2.2004430294036865,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,100.0,20.0,skl_OPTICS,longsquare_y.zip
20,inf,correlation,auto,4,2.197148323059082,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,inf,20.0,skl_OPTICS,longsquare_y.zip
20,inf,cosine,auto,4,3.910041570663452,-0.2842,68.0066,3.7104,0.6818,0.0689,0.6475,0.3262,0.3407,0.3614,0.3222,0.3407,0.2653,,,skl_OPTICS,longsquare_y.zip
20,inf,cosine,auto,4,3.3104465007781982,-0.2842,68.0066,3.7104,0.6818,0.0689,0.6475,0.3262,0.3407,0.3614,0.3222,0.3407,0.2653,1000.0,20.0,skl_OPTICS,longsquare_y.zip
20,inf,cosine,auto,4,3.1626601219177246,-0.2842,68.0066,3.7104,0.6818,0.0689,0.6475,0.3262,0.3407,0.3614,0.3222,0.3407,0.2653,100.0,20.0,skl_OPTICS,longsquare_y.zip
20,inf,cosine,auto,4,3.193241596221924,-0.2842,68.0066,3.7104,0.6818,0.0689,0.6475,0.3262,0.3407,0.3614,0.3222,0.3407,0.2653,inf,20.0,skl_OPTICS,longsquare_y.zip
20,inf,euclidean,auto,4,1.6266403198242188,0.0398,153.3475,1.2583,0.7956,0.3956,1.1349,0.6382,0.6436,0.6334,0.6541,0.6436,0.5303,,,skl_OPTICS,longsquare_y.zip
20,inf,euclidean,auto,4,1.679617166519165,0.0398,153.3475,1.2583,0.7956,0.3956,1.1349,0.6382,0.6436,0.6334,0.6541,0.6436,0.5303,1000.0,20.0,skl_OPTICS,longsquare_y.zip
20,inf,euclidean,auto,4,1.7084746360778809,0.0398,153.3475,1.2583,0.7956,0.3956,1.1349,0.6382,0.6436,0.6334,0.6541,0.6436,0.5303,100.0,20.0,skl_OPTICS,longsquare_y.zip
20,inf,euclidean,auto,4,1.6790847778320312,0.0398,153.3475,1.2583,0.7956,0.3956,1.1349,0.6382,0.6436,0.6334,0.6541,0.6436,0.5303,inf,20.0,skl_OPTICS,longsquare_y.zip
2,inf,correlation,auto,4,2.2352850437164307,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,,,skl_OPTICS,longsquare_y.zip
2,inf,correlation,auto,4,2.185685873031616,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,1000.0,20.0,skl_OPTICS,longsquare_y.zip
2,inf,correlation,auto,4,2.2188048362731934,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,100.0,20.0,skl_OPTICS,longsquare_y.zip
2,inf,correlation,auto,4,2.1918625831604004,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,inf,20.0,skl_OPTICS,longsquare_y.zip
2,inf,cosine,auto,4,4.254136800765991,-0.5259,12.2801,11.4051,0.831,0.0129,1.3561,0.1749,0.3731,0.7569,0.2476,0.3731,0.0667,,,skl_OPTICS,longsquare_y.zip
