,dataset,alg,n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,labels_as_tree_leaves,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_depth,max_nbr_clusters,bic_eps,eps,min_samples,metric,n_jobs,linkage,amount_initial_centers,kmax,criteria_clf,criteria_reg,depth_factor,metric_con,metric_cat,max_eps,n_components,oblique_splits,max_oblique_features,min_nr_instances,min_y,min_rd,threshold,branching_factor
78,wdbc_y,VarianceParTree,,,,1000.0,100.0,5.919265270233154,0.3183,245.6139,1.3866,0.7973,0.5927,0.3076,0.4668,0.4676,0.4659,0.4693,0.4676,0.8102,,,,,,,,,,,,,5.0,3.0,,,,,,,2.0,2.0,0.1,,,,,,,,,,,,,,,,,,,,,
79,wdbc_y,kmeans+dt,2.0,,,1000.0,20.0,0.5684680938720703,0.3283,246.1985,1.3561,0.8194,0.6361,0.3354,0.518,0.5186,0.508,0.5297,0.5186,0.8345,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,True,gini,best,3.0,50.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
80,wdbc_y,kmodes,2.0,,,100.0,100.0,0.235743761062622,0.0067,12.5169,5.7426,0.5065,0.0082,0.0223,0.0326,0.0339,0.0337,0.034,0.0339,0.5387,Cao,11.0,100.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
81,wdbc_y,pyc_xmeans,,,,100.0,20.0,0.0366647243499755,0.3447,267.6804,1.3093,0.8394,0.6765,0.3638,0.5614,0.562,0.551,0.5735,0.562,0.8527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,
82,wdbc_y,skl_DBSCAN,,,,100.0,100.0,0.0073819160461425,0.1813,37.3688,1.3234,0.5629,0.0787,0.0527,0.1204,0.1222,0.0797,0.2615,0.1222,0.7199,,,,,,,,auto,,,,,,,,,,,,,,,,0.1,10.0,correlation,4.0,,,,,,,,,,,,,,,,,
83,wdbc_y,skl_OPTICS,,,,inf,20.0,2.647606611251831,0.2689,23.153,0.961,0.5412,0.025,0.0176,0.0447,0.0471,0.0267,0.1992,0.0471,0.7246,,,,,,,,auto,,,,,,,,,,,,,,,,,10.0,cosine,4.0,,,,,,,,,inf,,,,,,,,
84,wdbc_y,skl_agglomerativeClust,2.0,,,1000.0,20.0,0.0067660808563232,0.6607,27.8727,0.4497,0.5335,0.0048,0.0035,0.0067,0.0102,0.0053,0.1489,0.0102,0.7281,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,,complete,,,,,,,,,,,,,,,,
85,wdbc_y,skl_birch,2.0,,,100.0,20.0,0.0343449115753173,0.3394,248.6288,1.37,0.7892,0.575,0.2946,0.4562,0.4569,0.4462,0.4681,0.4569,0.8075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
86,wdbc_y,skl_bis_kmeans,2.0,,,inf,20.0,0.7221834659576416,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,largest_cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,wdbc_y,skl_kmeans,2.0,,,100.0,20.0,0.6005744934082031,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
