,dataset,alg,n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,labels_as_tree_leaves,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_depth,max_nbr_clusters,bic_eps,eps,min_samples,metric,n_jobs,linkage,amount_initial_centers,kmax,criteria_clf,criteria_reg,depth_factor,metric_con,metric_cat,max_eps,n_components,oblique_splits,max_oblique_features,min_nr_instances,min_y,min_rd,threshold,branching_factor
17,churnONEHOT_y,skl_OPTICS,,,,100.0,20.0,9.491711854934692,0.0,0.0,0.0,0.7521,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8672,,,,,,,,auto,,,,,,,,,,,,,,,,,20.0,correlation,4.0,,,,,,,,,inf,,,,,,,,
18,churnONEHOT_y,skl_agglomerativeClust,2.0,,,inf,20.0,0.2526359558105469,0.363,3.9097,0.4928,0.7517,-0.0005,0.0,-0.0004,0.0002,0.0001,0.0172,0.0002,0.8669,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,,average,,,,,,,,,,,,,,,,
19,churnONEHOT_y,skl_birch,2.0,,,inf,20.0,0.4586925506591797,0.0446,147.0615,4.5754,0.5032,-0.0061,0.001,0.0015,0.0018,0.0023,0.0014,0.0018,0.6183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
20,churnONEHOT_y,skl_bis_kmeans,2.0,,,inf,20.0,0.7762033939361572,0.0795,298.528,3.2523,0.501,0.0019,0.0037,0.0064,0.0066,0.0089,0.0053,0.0066,0.614,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,biggest_inertia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,churnONEHOT_y,skl_kmeans,2.0,,,inf,20.0,0.8037984371185303,0.0795,298.528,3.2523,0.501,0.0019,0.0037,0.0064,0.0066,0.0089,0.0053,0.0066,0.614,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,compasscorestwoyearsONEHOT_y,CenterParTree2,,,,100.0,20.0,25.90838122367859,0.1538,886.9172,2.5311,0.9409,0.8817,0.5746,0.8324,0.8324,0.8349,0.8299,0.8324,0.9412,,,,,,42.0,,,,,,,5.0,3.0,,,,,,,2.0,2.0,0.1,,,,,,,,,,,cos,jaccard,,,,,,,,,
23,compasscorestwoyearsONEHOT_y,ImpurityParTree2,,,,100.0,20.0,9.468345165252686,0.1973,1130.3724,1.8264,0.5351,0.0676,0.0321,0.0519,0.052,0.0466,0.059,0.052,0.5989,,,,,,42.0,,,,,,,5.0,3.0,,,,,,,4.0,2.0,0.1,,,,,,,,me,mape,,,,,,,,,,,,
24,compasscorestwoyearsONEHOT_y,PrincipalParTree,,,,1000.0,20.0,0.4303469657897949,0.1538,886.9172,2.5311,0.9409,0.8817,0.5746,0.8324,0.8324,0.8349,0.8299,0.8324,0.9412,,,,,,42.0,,,,,,,5.0,3.0,,,,,,,2.0,2.0,0.2,,,,,,,,,,,,,,1.0,False,0.0,,,,,
25,compasscorestwoyearsONEHOT_y,kmeans+dt,2.0,,,1000.0,20.0,0.465627908706665,0.2334,1457.5316,1.7788,0.5409,0.0804,0.037,0.0572,0.0573,0.0538,0.0613,0.0573,0.5811,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,True,gini,best,3.0,5.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
26,compasscorestwoyearsONEHOT_y,kmodes,2.0,,,1000.0,20.0,3.31307315826416,0.1396,627.4681,3.0199,0.7584,0.5164,0.2899,0.4295,0.4295,0.4212,0.4382,0.4295,0.767,Cao,11.0,500.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
27,compasscorestwoyearsONEHOT_y,pyc_xmeans,,,,1000.0,20.0,0.0904457569122314,0.8311,58.1878,0.1189,0.5048,0.0001,0.0001,0.0,0.0003,0.0002,0.0807,0.0003,0.7104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,
28,compasscorestwoyearsONEHOT_y,skl_DBSCAN,,,,100.0,20.0,0.4344716072082519,0.1516,7.0425,4.587,0.5053,0.0013,0.001,0.0026,0.0028,0.0015,0.0311,0.0028,0.7073,,,,,,,,auto,,,,,,,,,,,,,,,,0.25,5.0,correlation,4.0,,,,,,,,,,,,,,,,,
29,compasscorestwoyearsONEHOT_y,skl_OPTICS,,,,100.0,20.0,206.80453515052795,0.0,0.0,0.0,0.5048,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7105,,,,,,,,auto,,,,,,,,,,,,,,,,,20.0,euclidean,4.0,,,,,,,,,inf,,,,,,,,
30,compasscorestwoyearsONEHOT_y,skl_agglomerativeClust,2.0,,,1000.0,20.0,1.0410404205322266,0.8311,58.1878,0.1189,0.5048,0.0001,0.0001,0.0,0.0003,0.0002,0.0807,0.0003,0.7104,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,,single,,,,,,,,,,,,,,,,
31,compasscorestwoyearsONEHOT_y,skl_birch,2.0,,,1000.0,20.0,1.2531945705413818,0.2218,1361.705,1.7945,0.5406,0.0795,0.0369,0.0574,0.0575,0.0536,0.0622,0.0575,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
32,compasscorestwoyearsONEHOT_y,skl_bis_kmeans,2.0,,,1000.0,20.0,0.7548496723175049,0.24,1493.1499,1.7769,0.5446,0.0877,0.0409,0.0631,0.0632,0.0594,0.0676,0.0632,0.5839,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,biggest_inertia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,compasscorestwoyearsONEHOT_y,skl_kmeans,2.0,,,1000.0,20.0,0.6460375785827637,0.24,1493.1499,1.7769,0.5446,0.0877,0.0409,0.0631,0.0632,0.0594,0.0676,0.0632,0.5839,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,compasscorestwoyears_y,CLTree,,,,,,2837.967403411865,0.0041,3.4979,31.0154,0.5409,0.0803,0.0371,0.0571,0.0573,0.0538,0.0613,0.0573,0.5811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,10.0,,
35,compasscorestwoyears_y,kmeans+dt,2.0,,,1000.0,20.0,0.774338960647583,0.5443,12295.8618,0.7027,0.503,0.0058,0.0021,0.003,0.0031,0.0031,0.0031,0.0031,0.5098,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,True,gini,best,30.0,5.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
36,compasscorestwoyears_y,kmodes,2.0,,,inf,100.0,6.72731876373291,0.0975,367.4213,3.8077,0.6947,0.3886,0.2234,0.3405,0.3406,0.3246,0.3583,0.3406,0.7166,Cao,11.0,500.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
37,compasscorestwoyears_y,pyc_xmeans,,,,100.0,20.0,0.1166415214538574,0.5699,14229.7824,0.6311,0.5415,0.0892,0.2411,0.169,0.1695,0.3503,0.1118,0.1695,0.3527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.0,,,,,,,,,,,,,,
38,compasscorestwoyears_y,skl_DBSCAN,,,,100.0,100.0,0.7345874309539795,0.0955,2.0905,0.6361,0.5048,0.0001,0.0001,0.0,0.0003,0.0002,0.0807,0.0003,0.7104,,,,,,,,auto,,,,,,,,,,,,,,,,0.1,10.0,cosine,4.0,,,,,,,,,,,,,,,,,
39,compasscorestwoyears_y,skl_OPTICS,,,,1000.0,100.0,184.3149392604828,-0.2468,199.4704,1.4112,0.5079,0.0183,0.196,0.1452,0.1471,0.2847,0.0992,0.1471,0.4405,,,,,,,,auto,,,,,,,,,,,,,,,,,20.0,euclidean,4.0,,,,,,,,,inf,,,,,,,,
40,compasscorestwoyears_y,skl_agglomerativeClust,2.0,,,1000.0,100.0,1.802075147628784,0.5437,12276.483,0.7039,0.5036,0.0069,0.0027,0.0038,0.0039,0.0039,0.0039,0.0039,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,,ward,,,,,,,,,,,,,,,,
41,compasscorestwoyears_y,skl_birch,2.0,,,inf,20.0,1.5799543857574463,0.5437,12276.483,0.7039,0.5036,0.0069,0.0027,0.0038,0.0039,0.0039,0.0039,0.0039,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
42,compasscorestwoyears_y,skl_bis_kmeans,8.0,,,inf,100.0,5.622022390365601,0.5643,14629.8906,0.6856,0.5469,0.0998,0.2314,0.1742,0.1745,0.3362,0.1178,0.1745,0.3696,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,biggest_inertia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,compasscorestwoyears_y,skl_kmeans,8.0,,,100.0,20.0,0.6028759479522705,0.5648,14645.7759,0.6847,0.5469,0.0998,0.2316,0.1743,0.1746,0.3365,0.1179,0.1746,0.3696,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ficoONEHOT,kmeans+dt,2.0,,,1000.0,20.0,0.2762515544891357,0.6664,7970.1923,0.256,,,,,,,,,,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,True,gini,best,30.0,5.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
45,ficoONEHOT,kmodes,12.0,,,1000.0,20.0,33.25080156326294,0.0104,866.7736,8.3368,,,,,,,,,,Cao,11.0,100.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
46,ficoONEHOT,pyc_xmeans,,,,1000.0,20.0,0.1089847087860107,0.6664,7970.1923,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,
47,ficoONEHOT,skl_DBSCAN,,,,1000.0,20.0,0.0879013538360595,0.6664,7970.1923,0.256,,,,,,,,,,,,,,,,,auto,,,,,,,,,,,,,,,,1.0,10.0,euclidean,4.0,,,,,,,,,,,,,,,,,
48,ficoONEHOT,skl_OPTICS,,,,inf,20.0,301.9774491786957,0.6668,4057.8406,0.9946,,,,,,,,,,,,,,,,,auto,,,,,,,,,,,,,,,,,20.0,euclidean,4.0,,,,,,,,,inf,,,,,,,,
49,ficoONEHOT,skl_agglomerativeClust,2.0,,,1000.0,20.0,1.6384034156799316,0.8059,40.0205,0.1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,,single,,,,,,,,,,,,,,,,
50,ficoONEHOT,skl_birch,10.0,,,1000.0,20.0,3.796953678131104,0.0468,617.3978,2.1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
51,ficoONEHOT,skl_bis_kmeans,2.0,,,inf,20.0,0.4817652702331543,0.6664,7970.1923,0.256,,,,,,,,,,k-means++,11.0,100.0,0.0001,False,42.0,True,lloyd,largest_cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,ficoONEHOT,skl_kmeans,2.0,,,inf,20.0,0.5060029029846191,0.6664,7970.1923,0.256,,,,,,,,,,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,german_creditONEHOT_y,VarianceParTree,,,,100.0,20.0,0.0745205879211425,0.1345,128.5237,2.634,0.4996,-0.0055,0.0046,0.0064,0.0072,0.0076,0.0069,0.0072,0.5438,,,,,,,,,,,,,5.0,3.0,,,,,,,6.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
