,Wrong,Correct,mean,std
Tree E,0.1111111111111111,0.8888888888888888,112.77194444444444,211.70292068908932
Parallel Coord E,0.7222222222222222,0.2777777777777778,110.38233333333334,91.96074322934822
Dendo E,0.5,0.5,133.78744444444445,88.93669699366954
Tree C,0.1111111111111111,0.8888888888888888,64.55094444444447,46.83125684647233
Parallel Coord C,0.8888888888888888,0.1111111111111111,148.84227777777775,144.2706675078257
Dendo C,0.8888888888888888,0.1111111111111111,114.66055555555558,77.68609080154661
